#,State,Address,End,Chunk (hex),Used (hex),Chunk (bytes),Used (bytes),Wasted (bytes),Source,Type,Label,Prev,Next,Size16,Flags,Self,Notes
168,USED,0x141B4AB20,0x141B4AE9F,0x00320,0x00320,800,800,0,,unknown,,0x141B4A910,0x141B4AEA0,0x0038,0x02011000,0x41B4AB30,
169,USED,0x141B4AEA0,0x141B4AF1F,0x00020,0x00018,32,24,8,,unknown,,0x141B4AB20,0x141B4AF20,0x0008,0x02011800,0x41B4AEB0,
170,USED,0x141B4AF20,0x141B4B12F,0x001B0,0x001B0,432,432,0,,unknown,,0x141B4AEA0,0x141B4B130,0x0021,0x02011000,0x41B4AF30,
171,USED,0x141B4B130,0x141B4C86F,0x016E0,0x016D8,5856,5848,8,,unknown,,0x141B4AF20,0x141B4C870,0x0174,0x02011800,0x41B4B140,
172,FREE,0x141B4C870,0x141B4CFEF,0x00780,0x00000,1920,0,1920,,free,,0x141B4B130,0x141B4CFF0,0x0078,0x02008CFF,0x23E0035E,
173,USED,0x141B4CFF0,0x141B4D8FF,0x008B0,0x008B0,2224,2224,0,,unknown,,0x141B4C870,0x141B4D900,0x0091,0x02011000,0x41B4D000,
174,USED,0x141B4D900,0x141B4DABF,0x00160,0x00158,352,344,8,,unknown,,0x141B4CFF0,0x141B4DAC0,0x001C,0x02001800,0x41B4D910,
175,USED,0x141B4DAC0,0x141B4DCCF,0x001B0,0x001B0,432,432,0,,unknown,,0x141B4D900,0x141B4DCD0,0x0021,0x02011000,0x41B4DAD0,
176,USED,0x141B4DCD0,0x141B5062F,0x02900,0x028FC,10496,10492,4,,unknown,,0x141B4DAC0,0x141B50630,0x0296,0x02011400,0x41B4DCE0,
177,FREE,0x141B50630,0x141B506FF,0x000D0,0x00000,208,0,208,,free,,0x141B4DCD0,0x141B50700,0x000D,0x02012000,0x41B50640,
178,USED,0x141B50700,0x141B5090F,0x001B0,0x001B0,432,432,0,,unknown,,0x141B50630,0x141B50910,0x0021,0x02011000,0x41B50710,
179,USED,0x141B50910,0x141B5290F,0x01FA0,0x01F98,8096,8088,8,,unknown,,0x141B50700,0x141B52910,0x0200,0x02011800,0x41B50920,
180,USED,0x141B52910,0x141B52CDF,0x00370,0x0036C,880,876,4,,unknown,,0x141B50910,0x141B52CE0,0x003D,0x02011400,0x41B52920,
181,USED,0x141B52CE0,0x141B52EDF,0x001A0,0x00194,416,404,12,,unknown,,0x141B52910,0x141B52EE0,0x0020,0x02011C00,0x41B52CF0,
182,USED,0x141B52EE0,0x141B52FCF,0x00090,0x00090,144,144,0,,unknown,,0x141B52CE0,0x141B52FD0,0x000F,0x02011000,0x41B52EF0,
183,FREE,0x141B52FD0,0x141B52FFF,0x00030,0x00000,48,0,48,,free,,0x141B52EE0,0x141B53000,0x0003,0x02000000,0x00000003,
184,USED,0x141B53000,0x141B5320F,0x001B0,0x001B0,432,432,0,,unknown,,0x141B52FD0,0x141B53210,0x0021,0x02011000,0x41B53010,
185,USED,0x141B53210,0x141B5341F,0x001B0,0x001B0,432,432,0,,unknown,,0x141B53000,0x141B53420,0x0021,0x02011000,0x41B53220,
186,FREE,0x141B53420,0x141B534AF,0x00090,0x00000,144,0,144,,free,,0x141B53210,0x141B534B0,0x0009,0x02012800,0x41B53430,
187,USED,0x141B534B0,0x141B536BF,0x001B0,0x001B0,432,432,0,,unknown,,0x141B53420,0x141B536C0,0x0021,0x02011000,0x41B534C0,
188,USED,0x141B536C0,0x141B5379F,0x00080,0x00078,128,120,8,,unknown,,0x141B534B0,0x141B537A0,0x000E,0x02011800,0x41B536D0,
189,USED,0x141B537A0,0x141B537FF,0x00000,0x00000,0,0,0,,unknown,,0x141B536C0,0x141B53800,0x0006,0x02001000,0x41B537B0,
190,USED,0x141B53800,0x141B5400F,0x00800,0x00800,2048,2048,0,,unknown,,0x141B537A0,0x141B54010,0x0081,0x02011000,0x41B45EE0,
191,USED,0x141B54010,0x141B54DEF,0x00D80,0x00D78,3456,3448,8,,unknown,,0x141B53800,0x141B54DF0,0x00DE,0x02011800,0x41B54020,
192,FREE,0x141B54DF0,0x141B54E8F,0x000A0,0x00000,160,0,160,,free,,0x141B54010,0x141B54E90,0x000A,0x02012C00,0x41B54E00,
193,USED,0x141B54E90,0x141B5509F,0x001B0,0x001B0,432,432,0,,unknown,,0x141B54DF0,0x141B550A0,0x0021,0x02011000,0x41B54EA0,
194,USED,0x141B550A0,0x141B552AF,0x001B0,0x001B0,432,432,0,,unknown,,0x141B54E90,0x141B552B0,0x0021,0x02011000,0x41B550B0,
195,USED,0x141B552B0,0x141B56BEF,0x018E0,0x018D8,6368,6360,8,,unknown,,0x141B550A0,0x141B56BF0,0x0194,0x02011800,0x41B552C0,
196,USED,0x141B56BF0,0x141B56C6F,0x00020,0x00014,32,20,12,,unknown,,0x141B552B0,0x141B56C70,0x0008,0x02011C00,0x41B56C00,
197,FREE,0x141B56C70,0x141B56C9F,0x00030,0x00000,48,0,48,,free,,0x141B56BF0,0x141B56CA0,0x0003,0x02000064,0x00020009,
198,USED,0x141B56CA0,0x141B56EAF,0x001B0,0x001B0,432,432,0,,unknown,,0x141B56C70,0x141B56EB0,0x0021,0x02011000,0x41B56CB0,
199,USED,0x141B56EB0,0x141B57A7F,0x00B70,0x00B6A,2928,2922,6,,unknown,,0x141B56CA0,0x141B57A80,0x00BD,0x02011600,0x41B56EC0,
200,USED,0x141B57A80,0x141B57B0F,0x00030,0x00024,48,36,12,,unknown,,0x141B56EB0,0x141B57B10,0x0009,0x02011C00,0x41B57A90,
201,USED,0x141B57B10,0x141B57BBF,0x00050,0x00048,80,72,8,,unknown,,0x141B57A80,0x141B57BC0,0x000B,0x02011800,0x41B57B20,
202,FREE,0x141B57BC0,0x141B57BDF,0x00020,0x00000,32,0,32,,free,,0x141B57B10,0x141B57BE0,0x0002,0x02000000,0x8212D310,
203,USED,0x141B57BE0,0x141B57DEF,0x001B0,0x001B0,432,432,0,,unknown,,0x141B57BC0,0x141B57DF0,0x0021,0x02011000,0x41B57BF0,
204,USED,0x141B57DF0,0x141B5861F,0x007D0,0x007C8,2000,1992,8,,unknown,,0x141B57BE0,0x141B58620,0x0083,0x02001800,0x41B57E00,
205,USED,0x141B58620,0x141B5882F,0x001B0,0x001B0,432,432,0,,unknown,,0x141B57DF0,0x141B58830,0x0021,0x02011000,0x41B58630,
206,USED,0x141B58830,0x141B588BF,0x00030,0x00030,48,48,0,,unknown,,0x141B58620,0x141B588C0,0x0009,0x02011000,0x41B58840,
207,USED,0x141B588C0,0x141B58ACF,0x001B0,0x001B0,432,432,0,,unknown,,0x141B58830,0x141B58AD0,0x0021,0x02011000,0x41B588D0,
208,USED,0x141B58AD0,0x141B5A66F,0x01B40,0x01B38,6976,6968,8,,unknown,,0x141B588C0,0x141B5A670,0x01BA,0x02001800,0x41B58AE0,
209,USED,0x141B5A670,0x141B5BF1F,0x01850,0x01848,6224,6216,8,,unknown,,0x141B58AD0,0x141B5BF20,0x018B,0x02011800,0x41B5A680,
210,USED,0x141B5BF20,0x141B5C00F,0x00090,0x00090,144,144,0,,unknown,,0x141B5A670,0x141B5C010,0x000F,0x02011000,0x41B5BF30,
211,USED,0x141B5C010,0x141B5C10F,0x000F0,0x000E8,240,232,8,,unknown,,0x141B5BF20,0x141B5C110,0x0010,0x02011800,0x102A1100,
212,FREE,0x141B5C110,0x141B5C51F,0x00410,0x00000,1040,0,1040,,free,,0x141B5C010,0x141B5C520,0x0041,0x02012D00,0x41B5C120,
213,USED,0x141B5C520,0x141B5C69F,0x00170,0x00168,368,360,8,,unknown,,0x141B5C110,0x141B5C6A0,0x0018,0x02011800,0x102A1100,
214,USED,0x141B5C6A0,0x141B5DD7F,0x01680,0x01680,5760,5760,0,,unknown,,0x141B5C520,0x141B5DD80,0x016E,0x02011000,0x41B5C6B0,
215,USED,0x141B5DD80,0x141B5DDDF,0x00000,0x00000,0,0,0,,unknown,,0x141B5C6A0,0x141B5DDE0,0x0006,0x02001000,0x41B5DD90,
216,USED,0x141B5DDE0,0x141B5DFEF,0x001B0,0x001B0,432,432,0,,unknown,,0x141B5DD80,0x141B5DFF0,0x0021,0x02011000,0x41B5DDF0,
217,USED,0x141B5DFF0,0x141B5E06F,0x00020,0x00014,32,20,12,,unknown,,0x141B5DDE0,0x141B5E070,0x0008,0x02011C00,0x41B5E000,
218,USED,0x141B5E070,0x141B5E0FF,0x00030,0x00028,48,40,8,,unknown,,0x141B5DFF0,0x141B5E100,0x0009,0x02011800,0x41B5E080,
219,USED,0x141B5E100,0x141B5E16F,0x00010,0x0000C,16,12,4,,unknown,,0x141B5E070,0x141B5E170,0x0007,0x02011400,0x41B5E110,
220,FREE,0x141B5E170,0x141B5E19F,0x00030,0x00000,48,0,48,,free,,0x141B5E100,0x141B5E1A0,0x0003,0x02000040,0x00020008,
221,USED,0x141B5E1A0,0x141B5E3AF,0x001B0,0x001B0,432,432,0,,unknown,,0x141B5E170,0x141B5E3B0,0x0021,0x02011000,0x41B5E1B0,
222,USED,0x141B5E3B0,0x141B5E44F,0x00040,0x00038,64,56,8,,unknown,,0x141B5E1A0,0x141B5E450,0x000A,0x02011800,0x41B5E3C0,
223,FREE,0x141B5E450,0x141B5E55F,0x00110,0x00000,272,0,272,,free,,0x141B5E3B0,0x141B5E560,0x0011,0x02012000,0x41B5E460,
224,FREE,0x141B5E560,0x141B5E5DF,0x00080,0x00000,128,0,128,,free,,0x141B5E450,0x141B5E5E0,0x0008,0x02012400,0x41B5E570,
225,FREE,0x141B5E5E0,0x141B5E66F,0x00090,0x00000,144,0,144,,free,,0x141B5E560,0x141B5E670,0x0009,0x02012C00,0x41B5E5F0,
226,USED,0x141B5E670,0x141B5E76F,0x000A0,0x000A0,160,160,0,,unknown,,0x141B5E5E0,0x141B5E770,0x0010,0x02011000,0x41B5E680,
227,USED,0x141B5E770,0x141B5E7FF,0x00030,0x00030,48,48,0,,unknown,,0x141B5E670,0x141B5E800,0x0009,0x02011000,0x41B5E780,
228,USED,0x141B5E800,0x141B5E87F,0x00020,0x00014,32,20,12,,unknown,,0x141B5E770,0x141B5E880,0x0008,0x02011C00,0x41B5E810,
229,USED,0x141B5E880,0x141B5E8EF,0x00010,0x0000C,16,12,4,,unknown,,0x141B5E800,0x141B5E8F0,0x0007,0x02001400,0x41B5E890,
230,USED,0x141B5E8F0,0x141B5E96F,0x00020,0x00018,32,24,8,,unknown,,0x141B5E880,0x141B5E970,0x0008,0x02011800,0x41B5E900,
231,USED,0x141B5E970,0x141B5E98F,0x00010,0x00010,16,16,0,,unknown,,0x141B5E8F0,0x141B5E990,0x0002,0x02011000,0x4031C7F0,
232,USED,0x141B5E990,0x141B5FA3F,0x01050,0x01044,4176,4164,12,,unknown,,0x141B5E970,0x141B5FA40,0x010B,0x02011C00,0x41B5E9A0,
233,FREE,0x141B5FA40,0x141B5FADF,0x000A0,0x00000,160,0,160,,free,,0x141B5E990,0x141B5FAE0,0x000A,0x02012C00,0x41B5FA50,
234,USED,0x141B5FAE0,0x141B5FC6F,0x00180,0x00180,384,384,0,,unknown,,0x141B5FA40,0x141B5FC70,0x0019,0x02011000,0x41B3B490,
235,USED,0x141B5FC70,0x141B5FC8F,0x00010,0x00010,16,16,0,,unknown,,0x141B5FAE0,0x141B5FC90,0x0002,0x02011000,0x82015F60,
236,USED,0x141B5FC90,0x141B5FDFF,0x00160,0x00158,352,344,8,,unknown,,0x141B5FC70,0x141B5FE00,0x0017,0x02011800,0x102A1100,
237,USED,0x141B5FE00,0x141B5FF2F,0x00120,0x00120,288,288,0,,unknown,,0x141B5FC90,0x141B5FF30,0x0013,0x02011000,0x00100007,
238,USED,0x141B5FF30,0x141B6823F,0x082B0,0x01110,33456,4368,29088,,unknown,,0x141B5FE00,0x141B68240,0x0831,0x02001000,0x41B5FF40,
239,USED,0x141B68240,0x141B6844F,0x001B0,0x001B0,432,432,0,,unknown,,0x141B5FF30,0x141B68450,0x0021,0x02011000,0x41B68250,
240,USED,0x141B68450,0x141B6851F,0x00070,0x00064,112,100,12,,unknown,,0x141B68240,0x141B68520,0x000D,0x02011C00,0x41B68460,
241,USED,0x141B68520,0x141B6859F,0x00020,0x00014,32,20,12,,unknown,,0x141B68450,0x141B685A0,0x0008,0x02011C00,0x41B68530,
242,USED,0x141B685A0,0x141B685FF,0x00000,0x00000,0,0,0,,unknown,,0x141B68520,0x141B68600,0x0006,0x02001000,0x41B685B0,
243,USED,0x141B68600,0x141B6880F,0x001B0,0x001B0,432,432,0,,unknown,,0x141B685A0,0x141B68810,0x0021,0x02011000,0x41B68610,
244,USED,0x141B68810,0x141B68D5F,0x004F0,0x004E8,1264,1256,8,,unknown,,0x141B68600,0x141B68D60,0x0055,0x02001800,0x41B68820,
245,USED,0x141B68D60,0x141B68EAF,0x000F0,0x000F0,240,240,0,,unknown,,0x141B68810,0x141B68EB0,0x0015,0x02011000,0x41B68D70,
246,USED,0x141B68EB0,0x141B68F4F,0x00040,0x0003C,64,60,4,,unknown,,0x141B68D60,0x141B68F50,0x000A,0x02011400,0x41B68EC0,
247,USED,0x141B68F50,0x141B68F7F,0x00020,0x00020,32,32,0,,unknown,,0x141B68EB0,0x141B68F80,0x0003,0x0200D310,0x00020075,
248,USED,0x141B68F80,0x141B6918F,0x001B0,0x001B0,432,432,0,,unknown,,0x141B68F50,0x141B69190,0x0021,0x02011000,0x41B68F90,
249,FREE,0x141B69190,0x141B69F8F,0x00E00,0x00000,3584,0,3584,,free,,0x141B68F80,0x141B69F90,0x00E0,0x02012000,0x41B691A0,
250,USED,0x141B69F90,0x141B6A19F,0x001B0,0x001B0,432,432,0,,unknown,,0x141B69190,0x141B6A1A0,0x0021,0x02011000,0x41B69FA0,
251,USED,0x141B6A1A0,0x141B6A4DF,0x00330,0x00330,816,816,0,,unknown,,0x141B69F90,0x141B6A4E0,0x0034,0x02011000,0x00000030,
252,USED,0x141B6A4E0,0x141B6C0AF,0x01B70,0x01B68,7024,7016,8,,unknown,,0x141B6A1A0,0x141B6C0B0,0x01BD,0x02011800,0x41B6A4F0,
253,USED,0x141B6C0B0,0x141B6C2FF,0x001F0,0x00194,496,404,92,,unknown,,0x141B6A4E0,0x141B6C300,0x0025,0x02001C00,0x41B6C0C0,
254,USED,0x141B6C300,0x141B6C90F,0x00600,0x00600,1536,1536,0,,unknown,,0x141B6C0B0,0x141B6C910,0x0061,0x02011000,0x41B36880,
255,USED,0x141B6C910,0x141B6CECF,0x00560,0x00560,1376,1376,0,,unknown,,0x141B6C300,0x141B6CED0,0x005C,0x02011000,0x41B6C920,
256,USED,0x141B6CED0,0x141B6D0DF,0x001B0,0x001B0,432,432,0,,unknown,,0x141B6C910,0x141B6D0E0,0x0021,0x02011000,0x41B6CEE0,
257,USED,0x141B6D0E0,0x141B6D1BF,0x00080,0x00078,128,120,8,,unknown,,0x141B6CED0,0x141B6D1C0,0x000E,0x02011800,0x41B6D0F0,
258,USED,0x141B6D1C0,0x141B6D2BF,0x000A0,0x000A0,160,160,0,,unknown,,0x141B6D0E0,0x141B6D2C0,0x0010,0x02011000,0x41B6D1D0,
259,USED,0x141B6D2C0,0x141B6D33F,0x00020,0x00014,32,20,12,,unknown,,0x141B6D1C0,0x141B6D340,0x0008,0x02011C00,0x41B6D2D0,
260,FREE,0x141B6D340,0x141B6D37F,0x00040,0x00000,64,0,64,,free,,0x141B6D2C0,0x141B6D380,0x0004,0x02000000,0xB1000206,
261,USED,0x141B6D380,0x141B6D4CF,0x000F0,0x000EC,240,236,4,,unknown,,0x141B6D340,0x141B6D4D0,0x0015,0x02011400,0x41B6D390,
262,USED,0x141B6D4D0,0x141B6D55F,0x00030,0x00028,48,40,8,,unknown,,0x141B6D380,0x141B6D560,0x0009,0x02011800,0x41B6D4E0,
263,FREE,0x141B6D560,0x141B6D57F,0x00020,0x00000,32,0,32,,free,,0x141B6D4D0,0x141B6D580,0x0002,0x02000000,0x00000000,
264,USED,0x141B6D580,0x141B6D6BF,0x00130,0x00130,304,304,0,,unknown,,0x141B6D560,0x141B6D6C0,0x0014,0x02011000,0x102A1100,
265,USED,0x141B6D6C0,0x141B7002F,0x02910,0x02908,10512,10504,8,,unknown,,0x141B6D580,0x141B70030,0x0297,0x02011800,0x41B6D6D0,
266,FREE,0x141B70030,0x141B70EAF,0x00E80,0x00000,3712,0,3712,,free,,0x141B6D6C0,0x141B70EB0,0x00E8,0x02000000,0x0000000C,
267,USED,0x141B70EB0,0x141B710BF,0x001B0,0x001B0,432,432,0,,unknown,,0x141B70030,0x141B710C0,0x0021,0x02011000,0x41B70EC0,
268,USED,0x141B710C0,0x141B7114F,0x00030,0x00028,48,40,8,,unknown,,0x141B70EB0,0x141B71150,0x0009,0x02011800,0x41B710D0,
269,USED,0x141B71150,0x141B7123F,0x00090,0x0008C,144,140,4,,unknown,,0x141B710C0,0x141B71240,0x000F,0x02011400,0x41B71160,
270,FREE,0x141B71240,0x141B7126F,0x00030,0x00000,48,0,48,,free,,0x141B71150,0x141B71270,0x0003,0x020002BC,0x00020019,
271,USED,0x141B71270,0x141B7147F,0x001B0,0x001B0,432,432,0,,unknown,,0x141B71240,0x141B71480,0x0021,0x02011000,0x41B71280,
272,USED,0x141B71480,0x141B7173F,0x00260,0x00258,608,600,8,,unknown,,0x141B71270,0x141B71740,0x002C,0x02011800,0x41B71490,
273,FREE,0x141B71740,0x141B7178F,0x00050,0x00000,80,0,80,,free,,0x141B71480,0x141B71790,0x0005,0x02000000,0x0004002D,
274,USED,0x141B71790,0x141B7199F,0x00200,0x00200,512,512,0,,unknown,,0x141B71740,0x141B719A0,0x0021,0x02011000,0x41B47640,
275,USED,0x141B719A0,0x141B71DAF,0x00400,0x00400,1024,1024,0,,unknown,,0x141B71790,0x141B71DB0,0x0041,0x02011000,0x41B3C2C0,
276,USED,0x141B71DB0,0x141B720BF,0x00300,0x00300,768,768,0,,unknown,,0x141B719A0,0x141B720C0,0x0031,0x02011000,0x41B3C2E0,
277,USED,0x141B720C0,0x141B7258F,0x00470,0x00470,1136,1136,0,,unknown,,0x141B71DB0,0x141B72590,0x004D,0x02011000,0x41B720D0,
278,USED,0x141B72590,0x141B726BF,0x00120,0x00120,288,288,0,,unknown,,0x141B720C0,0x141B726C0,0x0013,0x02011000,0x41B3F230,
279,USED,0x141B726C0,0x141B7573F,0x03020,0x03020,12320,12320,0,,unknown,,0x141B72590,0x141B75740,0x0308,0x02011000,0x41B726D0,
280,USED,0x141B75740,0x141B75B5F,0x003C0,0x003C0,960,960,0,,unknown,,0x141B726C0,0x141B75B60,0x0042,0x02011000,0x41B75750,
281,USED,0x141B75B60,0x141B75C4F,0x00090,0x00090,144,144,0,,unknown,,0x141B75740,0x141B75C50,0x000F,0x02011000,0x41B75B70,
282,FREE,0x141B75C50,0x141B75F0F,0x002C0,0x00000,704,0,704,,free,,0x141B75B60,0x141B75F10,0x002C,0x02000060,0x00A501F4,
283,USED,0x141B75F10,0x141B7685F,0x008F0,0x008E8,2288,2280,8,,unknown,,0x141B75C50,0x141B76860,0x0095,0x02011800,0x41B75F20,
284,USED,0x141B76860,0x141B76C2F,0x00370,0x0036C,880,876,4,,unknown,,0x141B75F10,0x141B76C30,0x003D,0x02011400,0x41B76870,
285,FREE,0x141B76C30,0x141B76CBF,0x00090,0x00000,144,0,144,,free,,0x141B76860,0x141B76CC0,0x0009,0x02012000,0x41B76C40,
286,USED,0x141B76CC0,0x141B76D4F,0x00030,0x00030,48,48,0,,unknown,,0x141B76C30,0x141B76D50,0x0009,0x02011000,0x41B76CD0,
287,FREE,0x141B76D50,0x141B76DEF,0x000A0,0x00000,160,0,160,,free,,0x141B76CC0,0x141B76DF0,0x000A,0x02012000,0x41B76D60,
288,FREE,0x141B76DF0,0x141B7700F,0x00220,0x00000,544,0,544,,free,,0x141B76D50,0x141B77010,0x0022,0x02012000,0x41B76E00,
289,FREE,0x141B77010,0x141B7711F,0x00110,0x00000,272,0,272,,free,,0x141B76DF0,0x141B77120,0x0011,0x02012C00,0x41B77020,
290,USED,0x141B77120,0x141B7732F,0x001B0,0x001B0,432,432,0,,unknown,,0x141B77010,0x141B77330,0x0021,0x02011000,0x41B77130,
291,USED,0x141B77330,0x141B78A6F,0x016E0,0x016D8,5856,5848,8,,unknown,,0x141B77120,0x141B78A70,0x0174,0x02011800,0x41B77340,
292,USED,0x141B78A70,0x141B7DBFF,0x05180,0x05180,20864,20864,0,,unknown,,0x141B77330,0x141B7DC00,0x0519,0x02003020,0xE6000000,
293,USED,0x141B7DC00,0x141B7DD3F,0x00130,0x00130,304,304,0,,unknown,,0x141B78A70,0x141B7DD40,0x0014,0x02011000,0x102A1100,
294,USED,0x141B7DD40,0x141B7EEAF,0x01110,0x01110,4368,4368,0,,unknown,,0x141B7DC00,0x141B7EEB0,0x0117,0x02011000,0x41B7DD50,
295,USED,0x141B7EEB0,0x141B7EFBF,0x000B0,0x000A8,176,168,8,,unknown,,0x141B7DD40,0x141B7EFC0,0x0011,0x02011800,0x41B7EEC0,
296,USED,0x141B7EFC0,0x141B7F00F,0x00040,0x00040,64,64,0,,unknown,,0x141B7EEB0,0x141B7F010,0x0005,0x0200D310,0x8212D310,
297,USED,0x141B7F010,0x141B7F02F,0x00010,0x00010,16,16,0,,unknown,,0x141B7EFC0,0x141B7F030,0x0002,0x02011000,0x82015F60,
298,USED,0x141B7F030,0x141B7F23F,0x001B0,0x001B0,432,432,0,,unknown,,0x141B7F010,0x141B7F240,0x0021,0x02011000,0x41B7F040,
299,FREE,0x141B7F240,0x141B7F28F,0x00050,0x00000,80,0,80,,free,,0x141B7F030,0x141B7F290,0x0005,0x02000000,0x44ADC000,
300,USED,0x141B7F290,0x141B7F33F,0x000A0,0x000A0,160,160,0,,unknown,,0x141B7F240,0x141B7F340,0x000B,0x02011000,0x41B6A1B0,
301,USED,0x141B7F340,0x141B7F4AF,0x00110,0x00110,272,272,0,,unknown,,0x141B7F290,0x141B7F4B0,0x0017,0x02011000,0x41B7F350,
302,USED,0x141B7F4B0,0x141B7F90F,0x00400,0x00400,1024,1024,0,,unknown,,0x141B7F340,0x141B7F910,0x0046,0x02011000,0x41B7F4C0,
303,USED,0x141B7F910,0x141B7FB0F,0x001A0,0x00194,416,404,12,,unknown,,0x141B7F4B0,0x141B7FB10,0x0020,0x02011C00,0x41B7F920,
304,USED,0x141B7FB10,0x141B7FB6F,0x00050,0x00050,80,80,0,,unknown,,0x141B7F910,0x141B7FB70,0x0006,0x0200D310,0x8212D310,
305,USED,0x141B7FB70,0x141B7FDBF,0x00240,0x00240,576,576,0,,unknown,,0x141B7FB10,0x141B7FDC0,0x0025,0x02011000,0x4031C7F0,
306,USED,0x141B7FDC0,0x141B7FEEF,0x000D0,0x000C8,208,200,8,,unknown,,0x141B7FB70,0x141B7FEF0,0x0013,0x02011800,0x41B7FDD0,
307,USED,0x141B7FEF0,0x141B7FF6F,0x00020,0x00014,32,20,12,,unknown,,0x141B7FDC0,0x141B7FF70,0x0008,0x02011C00,0x41B7FF00,
308,FREE,0x141B7FF70,0x141B7FF8F,0x00020,0x00000,32,0,32,,free,,0x141B7FEF0,0x141B7FF90,0x0002,0x02000000,0xFE3F0013,
309,USED,0x141B7FF90,0x141B7FFAF,0x00010,0x0000C,16,12,4,,unknown,,0x141B7FF70,0x141B7FFB0,0x0002,0x02011400,0x41B280E0,
310,PERM,0x141B7FFB0,0x141B7FFFF,0x00000,0x00000,0,0,0,,unknown,,0x141B7FF90,0x141B80000,0x0005,0x02101800,0x41B7FFC0,
