#,State,Address,End,Chunk (hex),Used (hex),Chunk (bytes),Used (bytes),Wasted (bytes),Source,Type,Label,Prev,Next,Size16,Flags,Self,Notes
38,USED,0x141B2C190,0x141B2C28F,0x000A0,0x00098,160,152,8,,unknown,,0x141B2C030,0x141B2C290,0x0010,0x02011800,0x41B2C1A0,
39,USED,0x141B2C290,0x141B2C35F,0x00070,0x00068,112,104,8,,unknown,,0x141B2C190,0x141B2C360,0x000D,0x02011800,0x41B2C2A0,
40,USED,0x141B2C360,0x141B2C3CF,0x00010,0x00004,16,4,12,,unknown,,0x141B2C290,0x141B2C3D0,0x0007,0x02011C00,0x41B2C370,
41,USED,0x141B2C3D0,0x141B2C43F,0x00010,0x0000C,16,12,4,,unknown,,0x141B2C360,0x141B2C440,0x0007,0x02011400,0x41B2C3E0,
42,USED,0x141B2C440,0x141B2C4AF,0x00010,0x00004,16,4,12,,unknown,,0x141B2C3D0,0x141B2C4B0,0x0007,0x02011C00,0x41B2C450,
43,USED,0x141B2C4B0,0x141B2C6BF,0x001B0,0x001B0,432,432,0,,unknown,,0x141B2C440,0x141B2C6C0,0x0021,0x02011000,0x41B2C4C0,
44,USED,0x141B2C6C0,0x141B2C7AF,0x000E0,0x000D4,224,212,12,,unknown,,0x141B2C4B0,0x141B2C7B0,0x000F,0x02011C00,0x00100007,
45,USED,0x141B2C7B0,0x141B30B0F,0x04300,0x042F8,17152,17144,8,,unknown,,0x141B2C6C0,0x141B30B10,0x0436,0x02001800,0x41B2C7C0,
46,USED,0x141B30B10,0x141B30BBF,0x00050,0x00048,80,72,8,,unknown,,0x141B2C7B0,0x141B30BC0,0x000B,0x02011800,0x41B30B20,
47,USED,0x141B30BC0,0x141B30C4F,0x00030,0x00030,48,48,0,,unknown,,0x141B30B10,0x141B30C50,0x0009,0x02011000,0x41B30BD0,
48,USED,0x141B30C50,0x141B30E5F,0x001B0,0x001B0,432,432,0,,unknown,,0x141B30BC0,0x141B30E60,0x0021,0x02011000,0x41B30C60,
49,USED,0x141B30E60,0x141B35B6F,0x04CB0,0x04CA4,19632,19620,12,,unknown,,0x141B30C50,0x141B35B70,0x04D1,0x02011C00,0x41B30E70,
50,USED,0x141B35B70,0x141B35BFF,0x00030,0x00028,48,40,8,,unknown,,0x141B30E60,0x141B35C00,0x0009,0x02011800,0x41B35B80,
51,USED,0x141B35C00,0x141B35C7F,0x00020,0x00018,32,24,8,,unknown,,0x141B35B70,0x141B35C80,0x0008,0x02011800,0x41B35C10,
52,USED,0x141B35C80,0x141B35D5F,0x00080,0x00078,128,120,8,,unknown,,0x141B35C00,0x141B35D60,0x000E,0x02011800,0x41B35C90,
53,USED,0x141B35D60,0x141B35E0F,0x00050,0x00048,80,72,8,,unknown,,0x141B35C80,0x141B35E10,0x000B,0x02011800,0x41B35D70,
54,USED,0x141B35E10,0x141B35E6F,0x00050,0x00050,80,80,0,,unknown,,0x141B35D60,0x141B35E70,0x0006,0x0200D310,0x8212D310,
55,USED,0x141B35E70,0x141B35F6F,0x000A0,0x000A0,160,160,0,,unknown,,0x141B35E10,0x141B35F70,0x0010,0x02011000,0x41B35E80,
56,USED,0x141B35F70,0x141B35FDF,0x00010,0x00008,16,8,8,,unknown,,0x141B35E70,0x141B35FE0,0x0007,0x02011800,0x41B35F80,
57,USED,0x141B35FE0,0x141B3601F,0x00030,0x00030,48,48,0,,unknown,,0x141B35F70,0x141B36020,0x0004,0x0200FB1B,0x00000BFF,
58,USED,0x141B36020,0x141B360CF,0x00050,0x00050,80,80,0,,unknown,,0x141B35FE0,0x141B360D0,0x000B,0x02011000,0x41B36030,
59,USED,0x141B360D0,0x141B3617F,0x00050,0x00050,80,80,0,,unknown,,0x141B36020,0x141B36180,0x000B,0x02011000,0x41B360E0,
60,FREE,0x141B36180,0x141B361AF,0x00030,0x00000,48,0,48,,free,,0x141B360D0,0x141B361B0,0x0003,0x0200000B,0x0E400042,
61,USED,0x141B361B0,0x141B363BF,0x001B0,0x001B0,432,432,0,,unknown,,0x141B36180,0x141B363C0,0x0021,0x02011000,0x41B361C0,
62,USED,0x141B363C0,0x141B3656F,0x00150,0x00150,336,336,0,,unknown,,0x141B361B0,0x141B36570,0x001B,0x02011000,0x41B363D0,
63,USED,0x141B36570,0x141B3677F,0x001B0,0x001B0,432,432,0,,unknown,,0x141B363C0,0x141B36780,0x0021,0x02011000,0x41B36580,
64,USED,0x141B36780,0x141B3684F,0x00070,0x00064,112,100,12,,unknown,,0x141B36570,0x141B36850,0x000D,0x02011C00,0x41B36790,
65,FREE,0x141B36850,0x141B3686F,0x00020,0x00000,32,0,32,,free,,0x141B36780,0x141B36870,0x0002,0x02002290,0x0F08086B,
66,USED,0x141B36870,0x141B3688F,0x00010,0x0000C,16,12,4,,unknown,,0x141B36850,0x141B36890,0x0002,0x02011400,0x41B6C310,
67,USED,0x141B36890,0x141B36CCF,0x003E0,0x003E0,992,992,0,,unknown,,0x141B36870,0x141B36CD0,0x0044,0x02011000,0x41B368A0,
68,USED,0x141B36CD0,0x141B36CFF,0x00020,0x00020,32,32,0,,unknown,,0x141B36890,0x141B36D00,0x0003,0x0200FF8A,0x00020045,
69,USED,0x141B36D00,0x141B36F0F,0x001B0,0x001B0,432,432,0,,unknown,,0x141B36CD0,0x141B36F10,0x0021,0x02011000,0x41B36D10,
70,USED,0x141B36F10,0x141B372FF,0x00390,0x00390,912,912,0,,unknown,,0x141B36D00,0x141B37300,0x003F,0x02011000,0x41B36F20,
71,FREE,0x141B37300,0x141B373BF,0x000C0,0x00000,192,0,192,,free,,0x141B36F10,0x141B373C0,0x000C,0x02012000,0x41B37310,
72,USED,0x141B373C0,0x141B373DF,0x00010,0x0000C,16,12,4,,unknown,,0x141B37300,0x141B373E0,0x0002,0x02011400,0x41B483C0,
73,USED,0x141B373E0,0x141B389CF,0x01590,0x01588,5520,5512,8,,unknown,,0x141B373C0,0x141B389D0,0x015F,0x02011800,0x41B373F0,
74,USED,0x141B389D0,0x141B39B5F,0x01130,0x01130,4400,4400,0,,unknown,,0x141B373E0,0x141B39B60,0x0119,0x02011000,0x41B389E0,
75,USED,0x141B39B60,0x141B39D6F,0x001B0,0x001B0,432,432,0,,unknown,,0x141B389D0,0x141B39D70,0x0021,0x02011000,0x41B39B70,
76,USED,0x141B39D70,0x141B3A64F,0x00880,0x00880,2176,2176,0,,unknown,,0x141B39B60,0x141B3A650,0x008E,0x02011000,0x41B39D80,
77,USED,0x141B3A650,0x141B3A6FF,0x00050,0x00050,80,80,0,,unknown,,0x141B39D70,0x141B3A700,0x000B,0x02011000,0x41B3A660,
78,USED,0x141B3A700,0x141B3A80F,0x000B0,0x000B0,176,176,0,,unknown,,0x141B3A650,0x141B3A810,0x0011,0x02011000,0x41B3A710,
79,USED,0x141B3A810,0x141B3ACAF,0x00440,0x00440,1088,1088,0,,unknown,,0x141B3A700,0x141B3ACB0,0x004A,0x02011000,0x41B3A820,
80,USED,0x141B3ACB0,0x141B3ADCF,0x00110,0x00104,272,260,12,,unknown,,0x141B3A810,0x141B3ADD0,0x0012,0x02011C00,0x00100007,
81,USED,0x141B3ADD0,0x141B3AE3F,0x00010,0x00010,16,16,0,,unknown,,0x141B3ACB0,0x141B3AE40,0x0007,0x02011000,0x41B3ADE0,
82,FREE,0x141B3AE40,0x141B3AEBF,0x00080,0x00000,128,0,128,,free,,0x141B3ADD0,0x141B3AEC0,0x0008,0x02012400,0x41B3AE50,
83,USED,0x141B3AEC0,0x141B3AEDF,0x00010,0x00010,16,16,0,,unknown,,0x141B3AE40,0x141B3AEE0,0x0002,0x02011000,0x82015F60,
84,FREE,0x141B3AEE0,0x141B3B00F,0x00130,0x00000,304,0,304,,free,,0x141B3AEC0,0x141B3B010,0x0013,0x02012C00,0x00100007,
85,USED,0x141B3B010,0x141B3B02F,0x00010,0x0000C,16,12,4,,unknown,,0x141B3AEE0,0x141B3B030,0x0002,0x02011400,0x41B47FB0,
86,USED,0x141B3B030,0x141B3B3BF,0x00330,0x00328,816,808,8,,unknown,,0x141B3B010,0x141B3B3C0,0x0039,0x02011800,0x41B3B040,
87,USED,0x141B3B3C0,0x141B3B43F,0x00020,0x00014,32,20,12,,unknown,,0x141B3B030,0x141B3B440,0x0008,0x02011C00,0x41B3B3D0,
88,FREE,0x141B3B440,0x141B3B45F,0x00020,0x00000,32,0,32,,free,,0x141B3B3C0,0x141B3B460,0x0002,0x02000000,0x00000000,
89,USED,0x141B3B460,0x141B3B47F,0x00010,0x0000C,16,12,4,,unknown,,0x141B3B440,0x141B3B480,0x0002,0x02011400,0x41B47EA0,
90,USED,0x141B3B480,0x141B3B49F,0x00010,0x0000C,16,12,4,,unknown,,0x141B3B460,0x141B3B4A0,0x0002,0x02011400,0x41B5FAF0,
91,FREE,0x141B3B4A0,0x141B3B63F,0x001A0,0x00000,416,0,416,,free,,0x141B3B480,0x141B3B640,0x001A,0x02012400,0x41B3B4B0,
92,USED,0x141B3B640,0x141B3B65F,0x00010,0x00010,16,16,0,,unknown,,0x141B3B4A0,0x141B3B660,0x0002,0x02011000,0x82015F60,
93,USED,0x141B3B660,0x141B3C14F,0x00A90,0x00A90,2704,2704,0,,unknown,,0x141B3B640,0x141B3C150,0x00AF,0x02011000,0x41B3B670,
94,FREE,0x141B3C150,0x141B3C2AF,0x00160,0x00000,352,0,352,,free,,0x141B3B660,0x141B3C2B0,0x0016,0x02012000,0x41B3C160,
95,USED,0x141B3C2B0,0x141B3C2CF,0x00010,0x0000C,16,12,4,,unknown,,0x141B3C150,0x141B3C2D0,0x0002,0x02011400,0x41B719B0,
96,USED,0x141B3C2D0,0x141B3C2EF,0x00010,0x0000C,16,12,4,,unknown,,0x141B3C2B0,0x141B3C2F0,0x0002,0x02011400,0x41B71DC0,
97,USED,0x141B3C2F0,0x141B3C48F,0x00140,0x00138,320,312,8,,unknown,,0x141B3C2D0,0x141B3C490,0x001A,0x02011800,0x41B3C300,
98,USED,0x141B3C490,0x141B3C68F,0x001A0,0x00194,416,404,12,,unknown,,0x141B3C2F0,0x141B3C690,0x0020,0x02011C00,0x41B3C4A0,
99,FREE,0x141B3C690,0x141B3CA6F,0x003E0,0x00000,992,0,992,,free,,0x141B3C490,0x141B3CA70,0x003E,0x02004294,0x824642E8,
100,USED,0x141B3CA70,0x141B3CA8F,0x00010,0x0000C,16,12,4,,unknown,,0x141B3C690,0x141B3CA90,0x0002,0x02011400,0x41BAE7E0,
101,USED,0x141B3CA90,0x141B3E2CF,0x017E0,0x017E0,6112,6112,0,,unknown,,0x141B3CA70,0x141B3E2D0,0x0184,0x02011000,0x41B3CAA0,
102,FREE,0x141B3E2D0,0x141B3E6FF,0x00430,0x00000,1072,0,1072,,free,,0x141B3CA90,0x141B3E700,0x0043,0x02012800,0x41B3E2E0,
103,USED,0x141B3E700,0x141B3E81F,0x00110,0x00110,272,272,0,,unknown,,0x141B3E2D0,0x141B3E820,0x0012,0x02011000,0x00000030,
104,USED,0x141B3E820,0x141B3F15F,0x008E0,0x008DC,2272,2268,4,,unknown,,0x141B3E700,0x141B3F160,0x0094,0x02011400,0x41B3E830,
105,USED,0x141B3F160,0x141B3F1DF,0x00020,0x00014,32,20,12,,unknown,,0x141B3E820,0x141B3F1E0,0x0008,0x02011C00,0x41B3F170,
106,FREE,0x141B3F1E0,0x141B3F21F,0x00040,0x00000,64,0,64,,free,,0x141B3F160,0x141B3F220,0x0004,0x02008600,0x00030009,
107,USED,0x141B3F220,0x141B3F23F,0x00010,0x0000C,16,12,4,,unknown,,0x141B3F1E0,0x141B3F240,0x0002,0x02011400,0x41B725A0,
108,USED,0x141B3F240,0x141B3F25F,0x00010,0x0000C,16,12,4,,unknown,,0x141B3F220,0x141B3F260,0x0002,0x02011400,0x41B47E30,
109,USED,0x141B3F260,0x141B403CF,0x01110,0x01110,4368,4368,0,,unknown,,0x141B3F240,0x141B403D0,0x0117,0x02011000,0x41B3F270,
110,USED,0x141B403D0,0x141B4075F,0x00380,0x00380,896,896,0,,unknown,,0x141B3F260,0x141B40760,0x0039,0x0200F9CD,0xC0000199,
